"term_id","category_id"
38,106
37,101
36,102
36,106
35,102
35,106
34,106
34,102
33,106
32,106
31,106
31,110
30,106
30,102
29,106
28,106
26,106
25,106
25,110
24,107
24,97
24,106
23,106
22,106
22,102
21,102
20,97
20,106
19,97
19,106
18,97
18,106
17,106
17,102
16,106
16,105
15,106
14,106
13,97
1,106
12,106
11,106
10,106
10,102
9,106
8,106
8,102
7,106
7,102
6,106
5,102
4,106
4,102
3,102
3,106
2,106
39,106
40,114
40,109
40,115
41,112
41,114
41,109
42,97
44,105
44,112
45,109
45,115
46,105
48,114
48,105
47,114
47,105
43,105
54,105
55,105
55,97
56,105
57,98
57,105
58,105
59,105
59,99
61,105
62,98
62,112
62,115
63,102
63,103
64,105
65,105
66,105
67,105
68,98
68,105
69,99
69,105
70,115
71,115
72,115
73,102
73,115
74,101
74,115
75,105
76,105
77,105
78,105
79,115
80,105
81,105
60,104
60,115
82,104
82,115
83,109
83,115
84,101
84,97
84,107
